RTK-RAS,Nrf2,TGF_Beta,PI3K,p53,Wnt,Myc,Cell_cycle,Hippo,Notch
EGFR,KEAP1,TGFBR1,PTEN,MDM2,WIF1,MYC,CDKN1A,DCHS1,JAG2
ERBB2,CUL3,TGFBR2,PIK3R2,MDM4,SFRP1,MYCN,CDKN1B,DCHS2,ARRDC1
ERBB3,NFE2L2,ACVR2A,INPP4B,CDKN2A,SFRP2,MYCL,CDKN2A,FAT1,FBXW7
ERBB4,,ACVR1B,PIK3CA,ATM,SFRP3,MAX,CDKN2B,FAT2,CUL1
MET,,SMAD2,PIK3CB,CHEK2,SFRP4,MGA,CDKN2C,FAT3,NOV
PDGFRA,,SMAD3,PIK3R1,RPS6KA3,SFRP5,MXD1,RB1,FAT4,NOTCH1
FGFR1,,SMAD4,PIK3R3,TP53,RNF43,MXD3,CCNE1,TAOK1,NOTCH2
FGFR2,,,AKT1,,ZNRF3,MXD4,CCND1,TAOK2,MAML3
FGFR3,,,AKT2,,LRP5,MXI1,CCND2,TAOK3,KAT2B
FGFR4,,,AKT3,,LRP6,MNT,CCND3,SAV1,HES1
KIT,,,PPP2R1A,,DKK1,MLX,E2F1,STK3,HES2
IGF1R,,,STK11,,DKK2,MLXIP,E2F3,STK4,HES3
RET,,,TSC1,,DKK3,MLXIPL,CDK2,NF2,HES4
ROS1,,,TSC2,,DKK4,,CDK4,LATS1,HES5
ALK,,,RHEB,,GSK3B,,CDK6,LATS2,CNTN6
FLT3,,,RICTOR,,AXIN1,,,MOB1A,NOTCH3
NTRK1,,,MTOR,,AXIN2,,,MOB1B,NOTCH4
NTRK2,,,RPTOR,,CTNNB1,,,WWC1,CREBBP
NTRK3,,,,,APC,,,YAP1,EP300
JAK2,,,,,AMER1,,,PTPN14,HEY1
CBL,,,,,TCF7,,,CRB1,HEY2
ERRFI1,,,,,TLE1,,,CRB2,HEYL
ABL1,,,,,TLE2,,,TAZ,DNER
SOS1,,,,,TLE3,,,CSNK1D,PSEN2
NF1,,,,,TLE4,,,CSNK1E,NCOR1
RASA1,,,,,TCF7L1,,,TEAD2,NCOR2
PTPN11,,,,,TCF7L2,,,,SPEN
KRAS,,,,,,,,,KDM5A
HRAS,,,,,,,,,
NRAS,,,,,,,,,
RIT1,,,,,,,,,
ARAF,,,,,,,,,
BRAF,,,,,,,,,
RAF1,,,,,,,,,
RAC1,,,,,,,,,
MAPK1,,,,,,,,,
MAP2K1,,,,,,,,,
MAP2K2,,,,,,,,,
